item_id,title,item_category,media_type,score,item_content
1,"[Playlist] 나만 알고 싶은 밴드, 유다빈 밴드 노래 모음",music,long_form,85,유다빈 밴드의 노래 모음을 소개하는 플레이리스트 영상 이 콘텐츠는 시청자들에게 새로운 경험과 흥미를 선사합니다. 시청자들은 이 영상을 통해 유익한 정보와 재미를 동시에 얻을 수 있습니다. 시청자들은 이 영상을 통해 유익한 정보와 재미를 동시에 얻을 수 있습니다.
2,서머 시즌의 T1과 월즈에서의 T1이 달랐던 이유,game,long_form,90,T1 팀의 성적 차이를 분석하는 스포츠 해설 영상 다양한 각도에서 주제를 분석하고 흥미로운 이야기를 풀어냅니다. 시청자들은 이 영상을 통해 유익한 정보와 재미를 동시에 얻을 수 있습니다. 다양한 각도에서 주제를 분석하고 흥미로운 이야기를 풀어냅니다.
3,이게 삼국지야 미연시야,game,long_form,88,삼국지와 미연시가 결합된 게임을 리뷰하고 플레이하는 영상 시청자들은 이 영상을 통해 유익한 정보와 재미를 동시에 얻을 수 있습니다. 특히 관련된 경험담과 사례를 포함하여 몰입감을 더했습니다. 이 콘텐츠는 시청자들에게 새로운 경험과 흥미를 선사합니다.
4,환장의 미국 선물 단타쇼,education,short_form,80,재미있는 미국 선물 언박싱 및 리뷰 영상 특히 관련된 경험담과 사례를 포함하여 몰입감을 더했습니다. 이 콘텐츠는 시청자들에게 새로운 경험과 흥미를 선사합니다. 특히 관련된 경험담과 사례를 포함하여 몰입감을 더했습니다.
5,고고학이란 무엇인가?,education,long_form,85,고고학의 정의와 이집트 유물에 대해 설명하는 교육적 콘텐츠 시청자들은 이 영상을 통해 유익한 정보와 재미를 동시에 얻을 수 있습니다. 이 콘텐츠는 시청자들에게 새로운 경험과 흥미를 선사합니다. 특히 관련된 경험담과 사례를 포함하여 몰입감을 더했습니다.
6,뉴진스가 하면 히로캐미도 한다 이거지…라고 버니즈 캐미가 말했어요,entertainment,short_form,83,뉴진스 팬과 관련된 재미있는 에피소드를 소개하는 영상 제작자의 세심한 접근과 열정이 돋보이는 영상입니다. 이 콘텐츠는 시청자들에게 새로운 경험과 흥미를 선사합니다. 특히 관련된 경험담과 사례를 포함하여 몰입감을 더했습니다.
7,애플의 AI가 알고보면 더 엄청난 이유! 쉽게 설명해 드림,tech,short_form,86,애플의 AI 기술을 쉽게 설명하는 영상 이 콘텐츠는 시청자들에게 새로운 경험과 흥미를 선사합니다. 시청자들은 이 영상을 통해 유익한 정보와 재미를 동시에 얻을 수 있습니다. 다양한 각도에서 주제를 분석하고 흥미로운 이야기를 풀어냅니다.
8,유병재는 아주 유명한 암기핑임,life_style,short_form,77,유병재의 특징을 암기에 관련하여 소개하는 짧은 영상 다양한 각도에서 주제를 분석하고 흥미로운 이야기를 풀어냅니다. 제작자의 세심한 접근과 열정이 돋보이는 영상입니다. 시청자들은 이 영상을 통해 유익한 정보와 재미를 동시에 얻을 수 있습니다.
9,마지막 투어를 끝낸 기분이요? 아 솔직히…,music,short_form,84,투어를 마친 가수의 솔직한 소감을 인터뷰하는 콘텐츠 다양한 각도에서 주제를 분석하고 흥미로운 이야기를 풀어냅니다. 다양한 각도에서 주제를 분석하고 흥미로운 이야기를 풀어냅니다. 시청자들은 이 영상을 통해 유익한 정보와 재미를 동시에 얻을 수 있습니다.
10,사람도 기절시켜 버립니다! 아마존 강에 살고 있는 초대형 전기뱀장어,life_style,long_form,90,아마존 강에서 전기뱀장어를 잡고 경험을 공유하는 생태 다큐 영상 제작자의 세심한 접근과 열정이 돋보이는 영상입니다. 특히 관련된 경험담과 사례를 포함하여 몰입감을 더했습니다. 제작자의 세심한 접근과 열정이 돋보이는 영상입니다.
11,캐논 렌즈 소니에 끼울 수 있습니다,tech,short_form,75,캐논 렌즈를 소니 카메라에 사용할 수 있는 방법을 설명하는 튜토리얼 다양한 각도에서 주제를 분석하고 흥미로운 이야기를 풀어냅니다. 제작자의 세심한 접근과 열정이 돋보이는 영상입니다. 제작자의 세심한 접근과 열정이 돋보이는 영상입니다.
12,헬창판 흑백 요리사.. 오늘의 단백질은 뭔가요?,sports_health,short_form,82,헬스인을 위한 고단백 요리 레시피를 소개하는 짧은 영상 특히 관련된 경험담과 사례를 포함하여 몰입감을 더했습니다. 다양한 각도에서 주제를 분석하고 흥미로운 이야기를 풀어냅니다. 시청자들은 이 영상을 통해 유익한 정보와 재미를 동시에 얻을 수 있습니다.
13,헬스 엑셀 방송 | 헬창의 삶3,sports_health,long_form,78,헬스 관련 기록 및 팁을 엑셀로 관리하는 헬스인의 일상 콘텐츠 이 콘텐츠는 시청자들에게 새로운 경험과 흥미를 선사합니다. 시청자들은 이 영상을 통해 유익한 정보와 재미를 동시에 얻을 수 있습니다. 이 콘텐츠는 시청자들에게 새로운 경험과 흥미를 선사합니다.
14,주우재가 알려주는 가격대별 데님 추천,life_style,short_form,88,주우재가 추천하는 가격대별 데님 제품을 소개하는 패션 영상 제작자의 세심한 접근과 열정이 돋보이는 영상입니다. 제작자의 세심한 접근과 열정이 돋보이는 영상입니다. 시청자들은 이 영상을 통해 유익한 정보와 재미를 동시에 얻을 수 있습니다.
15,전세계 컴퓨터에 영역전개해서 블루스킨 띄운 기업,tech,long_form,85,세계적으로 블루스크린을 유발한 기업과 사건을 분석하는 영상 특히 관련된 경험담과 사례를 포함하여 몰입감을 더했습니다. 다양한 각도에서 주제를 분석하고 흥미로운 이야기를 풀어냅니다. 특히 관련된 경험담과 사례를 포함하여 몰입감을 더했습니다.
16,빵빵이의 복권당첨~,movie,short_form,74,복권에 당첨된 빵빵이의 반응과 에피소드를 담은 영상 이 콘텐츠는 시청자들에게 새로운 경험과 흥미를 선사합니다. 특히 관련된 경험담과 사례를 포함하여 몰입감을 더했습니다. 제작자의 세심한 접근과 열정이 돋보이는 영상입니다.
17,가장 받고 싶은 집들이 선물 월드컵,entertainment,short_form,80,집들이 선물로 인기 있는 아이템을 월드컵 방식으로 소개하는 영상 다양한 각도에서 주제를 분석하고 흥미로운 이야기를 풀어냅니다. 특히 관련된 경험담과 사례를 포함하여 몰입감을 더했습니다. 특히 관련된 경험담과 사례를 포함하여 몰입감을 더했습니다.
18,양배추전으로 살 10kg 그냥 뺍니다,food_cooking,short_form,89,다이어트를 위한 양배추전을 만드는 방법을 소개하는 영상 제작자의 세심한 접근과 열정이 돋보이는 영상입니다. 시청자들은 이 영상을 통해 유익한 정보와 재미를 동시에 얻을 수 있습니다. 시청자들은 이 영상을 통해 유익한 정보와 재미를 동시에 얻을 수 있습니다.
19,매일 반복되는 강아지의 하루,pet,short_form,85,강아지의 하루 일과를 귀엽게 담은 짧은 영상 다양한 각도에서 주제를 분석하고 흥미로운 이야기를 풀어냅니다. 이 콘텐츠는 시청자들에게 새로운 경험과 흥미를 선사합니다. 제작자의 세심한 접근과 열정이 돋보이는 영상입니다.
20,"귀,위가 터질거 같은 1일 4식 마카오 음식 일주",travel,long_form,82,마카오에서 하루 4끼를 먹으며 음식 문화를 체험하는 브이로그 이 콘텐츠는 시청자들에게 새로운 경험과 흥미를 선사합니다. 제작자의 세심한 접근과 열정이 돋보이는 영상입니다. 이 콘텐츠는 시청자들에게 새로운 경험과 흥미를 선사합니다.
21,뿌카몬 카드 게임 텅구리로 알아보는 오늘의 운세,game,long_form,87,포켓몬 카드게임을 하면서 텅구리 카드의 효과 동전 던지기로 오늘의 운세를 확인하는 영상 이 콘텐츠는 시청자들에게 새로운 경험과 흥미를 선사합니다. 이 콘텐츠는 시청자들에게 새로운 경험과 흥미를 선사합니다. 시청자들은 이 영상을 통해 유익한 정보와 재미를 동시에 얻을 수 있습니다.
